year,semester,subject,ISEQ_wave,total_student_number,total_student_responses,unit_response_rate,faculty_response_rate,1.1_Strongly_Disagree,1.1_Disagree,1.1_NA,1.1_Agree,1.1_Strongly_Agree,1.2_open_response_completed,2.1_Strongly_Disagree,2.1_Disagree,2.1_NA,2.1_Agree,2.1_Strongly_Agree,2.2_Strongly_Disagree,2.2_Disagree,2.2_NA,2.2_Agree,2.2_Strongly_Agree,2.3_open_response_completed,3.1_Strongly_Disagree,3.1_Disagree,3.1_NA,3.1_Agree,3.1_Strongly_Agree,3.2_Strongly_Disagree,3.2_Disagree,3.2_NA,3.2_Agree,3.2_Strongly_Agree,3.3_Strongly_Disagree,3.3_Disagree,3.3_NA,3.3_Agree,3.3_Strongly_Agree,3.4_Strongly_Disagree,3.4_Disagree,3.4_NA,3.4_Agree,3.4_Strongly_Agree,3.5_open_response_completed
2021,1,SRDP,1,127,45,35.43,33.27,1,0,1,24,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,SRDP,2,122,44,36.07,25.15,NA,NA,NA,NA,NA,NA,1,1,0,23,12,2,1,0,18,16,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,SRDP,3,118,36,30.51,18.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,19,13,0,3,3,15,15,1,3,0,14,18,1,1,1,14,19,22
2021,2,FOP,1,277,133,48.01,21.08,2,9,5,56,61,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,FOP,2,256,101,29.45,22.63,NA,NA,NA,NA,NA,NA,1,5,3,54,38,1,3,5,34,58,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,FOP,3,253,77,30.43,21.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,36,31,1,6,4,43,23,1,0,5,28,43,1,1,3,32,40,36
2022,1,SRDP,1,151,46,30.46,27.63,1,1,2,13,29,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,SRDP,2,148,43,29.05,23.57,NA,NA,NA,NA,NA,NA,1,5,2,28,7,1,4,5,15,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,SRDP,3,146,40,27.4,20.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,15,19,1,1,4,16,18,1,2,2,10,25,1,3,3,11,22,28
2022,2,FOP,1,309,141,45.63,23.23,7,1,2,63,68,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,FOP,2,282,114,40.43,19.07,NA,NA,NA,NA,NA,NA,5,7,2,68,32,5,4,2,39,64,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,FOP,3,274,86,31.39,17.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,4,37,42,3,9,7,42,25,2,4,3,24,53,2,5,2,27,50,44
2023,1,SRDP,1,169,40,23.67,28.56,1,0,1,15,23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,1,SRDP,2,164,44,26.83,22.09,NA,NA,NA,NA,NA,NA,3,2,2,21,16,2,1,2,18,21,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,1,SRDP,3,161,34,21.12,20.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,19,12,0,3,1,17,13,0,2,1,6,25,0,2,0,8,24,20
2023,2,FOP,1,284,133,46.83,32.36,2,5,4,51,71,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,FOP,2,265,91,34.34,23.51,NA,NA,NA,NA,NA,NA,1,4,5,45,36,2,0,4,36,49,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,FOP,3,260,77,29.62,22.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,7,33,33,1,5,3,44,24,1,3,6,36,31,1,3,4,36,33,32
2024,1,SRDP,1,163,49,30.06,31.1,1,0,1,24,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,SRDP,2,161,37,22.98,21.2,NA,NA,NA,NA,NA,NA,1,1,0,23,12,2,1,0,18,16,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,SRDP,3,159,37,23.27,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,19,14,0,2,4,14,17,0,1,0,9,27,0,1,1,12,23,26
